code,min.sec,lat,lon,dist,yaw,roll,pitch,yaw_to_goal,motor_left,motor_right,stack,seq,data
9,0.4,0,0,71,-22.5,22.5,0,0,0,0,0,143.6 altNRdy,
9,0.5,0,0,71,-112.5,112.5,22.5,0,0,0,0,143.6 altNRdy,
9,0.6,0,0,71,-112.5,135,-22.5,0,0,0,0,143.7 altNRdy,
9,0.7,0,0,90,-157.5,-90,0,0,0,0,0,143.6 altNRdy,
9,0.4,0,0,71,112.5,22.5,45,0,0,0,0,149.9 altNRdy,
9,0.5,0,0,71,135,-22.5,67.5,0,0,0,0,149.9 altNRdy,
9,0.6,0,0,71,157.5,0,67.5,0,0,0,0,149.9 altNRdy,
9,0.7,0,0,71,180,0,67.5,0,0,0,0,150.0 altNRdy,
9,0.8,0,0,71,22.5,-157.5,90,0,0,0,0,150.1 altNRdy,
9,0.9,0,0,90,-135,67.5,90,0,0,0,0,150.1 altNRdy,
9,0.1,0,0,71,-135,67.5,90,0,0,0,0,150.1 altNRdy,
9,0.11,0,0,71,-45,135,90,0,0,0,0,150.1 altNRdy,
9,0.12,0,0,71,-135,45,90,0,0,0,0,150.1 altNRdy,
9,0.13,0,0,71,-135,45,90,0,0,0,0,150.1 altNRdy,
9,0.15,0,0,90,45,-135,90,0,0,0,0,150.1 altNRdy,
9,0.16,0,0,71,135,-45,67.5,0,0,0,0,150.1 altNRdy,
9,0.17,0,0,71,90,-90,90,0,0,0,0,150.1 altNRdy,
9,0.18,0,0,71,180,0,67.5,0,0,0,0,150.1 altNRdy,
9,0.19,0,0,71,135,-67.5,67.5,0,0,0,0,150.1 altNRdy,
9,0.2,0,0,71,157.5,-22.5,90,0,0,0,0,150.1 altNRdy,
9,0.21,0,0,71,-112.5,67.5,45,0,0,0,0,150.1 altNRdy,
9,0.22,0,0,71,-157.5,22.5,67.5,0,0,0,0,150.1 altNRdy,
9,0.23,0,0,71,180,0,67.5,0,0,0,0,150.1 altNRdy,
9,0.24,0,0,71,157.5,-22.5,67.5,0,0,0,0,150.1 altNRdy,
9,0.25,0,0,71,-180,0,67.5,0,0,0,0,150.1 altNRdy,
9,0.26,0,0,71,-180,0,67.5,0,0,0,0,150.1 altNRdy,
9,0.27,0,0,90,-180,0,67.5,0,0,0,0,150.1 altNRdy,
9,0.28,0,0,71,-157.5,22.5,67.5,0,0,0,0,150.1 altNRdy,
9,0.29,0,0,71,-135,22.5,67.5,0,0,0,0,150.1 altNRdy,
9,0.3,0,0,71,-135,22.5,67.5,0,0,0,0,150.1 altNRdy,
9,0.31,0,0,71,-135,22.5,67.5,0,0,0,0,150.1 altNRdy,
9,0.32,0,0,90,-157.5,-22.5,0,0,0,0,0,150.1 altNRdy,
9,0.33,0,0,42,135,-22.5,0,0,0,0,0,150.1 altNRdy,
9,0.34,0,0,172,67.5,-22.5,22.5,0,0,0,0,150.1 altNRdy,
9,0.35,0,0,158,90,-45,22.5,0,0,0,0,150.1 altNRdy,
9,0.36,0,0,97,90,-45,45,0,0,0,0,150.1 altNRdy,
9,0.37,0,0,196,112.5,-45,45,0,0,0,0,150.1 altNRdy,
9,0.38,0,0,84,112.5,-45,45,0,0,0,0,150.1 altNRdy,
9,0.39,0,0,43,112.5,-67.5,45,0,0,0,0,150.1 altNRdy,
9,0.41,0,0,36,112.5,-67.5,45,0,0,0,0,150.1 altNRdy,
9,0.42,0,0,71,112.5,-45,45,0,0,0,0,150.1 altNRdy,
9,0.43,0,0,71,112.5,-45,45,0,0,0,0,150.1 altNRdy,
9,0.44,0,0,71,135,-45,45,0,0,0,0,150.1 altNRdy,
9,0.45,0,0,71,135,-22.5,45,0,0,0,0,150.1 altNRdy,
9,0.46,0,0,71,180,0,45,0,0,0,0,150.1 altNRdy,
9,0.47,0,0,71,-157.5,22.5,45,0,0,0,0,150.1 altNRdy,
9,0.48,0,0,71,-135,22.5,45,0,0,0,0,150.1 altNRdy,
9,0.49,0,0,71,-135,45,45,0,0,0,0,150.1 altNRdy,
9,0.5,0,0,71,-112.5,45,45,0,0,0,0,150.1 altNRdy,
