code,min.sec,lat,lon,dist,yaw,roll,pitch,yaw_to_goal,motor_left,motor_right,stack,seq,data
5,8.49,40142199,139987483,12,22.5,-180,22.5,0,0,0,0,6NC 0 Heatand,
5,8.5,40142199,139987483,11,0,-135,-67.5,0,0,0,0,6NC 2 Heatand,
5,8.51,40142199,139987483,10,22.5,-135,-67.5,0,0,0,0,6NC 4 Heatand,
5,8.52,0,0,71,45,-180,-90,0,0,0,0,6NC 6 Heatand,
5,8.53,0,0,71,67.5,180,-67.5,0,0,0,0,6NC 8 Heatand,
5,8.55,0,0,90,45,180,-67.5,0,0,0,0,6NC 10 Heatnd,
5,8.56,0,0,42,45,180,-67.5,0,0,0,0,6NC 12 Heatnd,
5,8.57,0,0,172,45,157.5,-67.5,0,0,0,0,6NC 14 Heatnd,
5,8.58,40142352,139987403,5,45,157.5,-67.5,0,0,0,0,2NC 0 Donend,
5,8.59,40142340,139987426,5,67.5,157.5,-67.5,0,3,1,0,2t3.04 Rightd,
5,9,40142340,139987426,4,67.5,135,-67.5,0,3,1,0,2t2.47 Rightd,
5,9.1,40142340,139987426,4,0,157.5,-22.5,0,1,3,0,2t-2.64 Leftd,
5,9.2,40142340,139987426,4,0,157.5,-22.5,0,1,3,0,2t-2.44 Leftd,
5,9.3,40142340,139987426,4,0,157.5,22.5,0,1,3,0,2t-2.33 Leftd,
5,9.4,40142340,139987426,4,0,157.5,0,0,1,3,0,2t-2.40 Leftd,
5,9.5,40142340,139987426,3,0,157.5,0,0,1,3,0,2t-2.43 Leftd,
5,9.6,40142340,139987426,3,0,180,0,0,1,3,0,2t-2.43 Leftd,
5,9.7,40142340,139987426,3,0,157.5,22.5,0,1,3,0,2t-2.46 Leftd,
5,9.8,40142340,139987426,3,22.5,180,22.5,0,1,3,0,2t-2.82 Leftd,
5,9.9,40142340,139987426,3,-22.5,157.5,90,0,1,3,0,2t-2.82 Leftd,
5,9.1,40142340,139987426,3,-22.5,157.5,45,0,1,3,0,2t-2.27 Leftd,
5,9.11,40142340,139987426,3,-22.5,157.5,90,0,1,3,0,2t-2.38 Leftd,
5,9.12,0,0,90,45,-112.5,67.5,0,1,3,0,2t-1.20 Leftd,
5,9.13,0,0,42,90,-45,45,0,1,3,0,2t-1.84 Leftd,
5,9.14,0,0,90,90,-45,22.5,0,1,3,0,2t-1.76 Leftd,
5,9.15,0,0,42,90,-45,22.5,0,1,3,0,2t-1.70 Leftd,
5,9.16,0,0,172,90,-45,22.5,0,1,3,0,2t-1.70 Leftd,
5,9.17,0,0,90,112.5,-45,22.5,0,1,3,0,2t-1.71 Leftd,
5,9.18,0,0,42,157.5,-67.5,22.5,0,1,3,0,2t-2.12 Leftd,
5,9.19,0,0,172,90,-67.5,22.5,0,1,3,0,2t-2.67 Leftd,
5,9.21,0,0,158,22.5,-45,22.5,0,1,3,0,2t-0.98 Leftd,
5,9.22,0,0,97,22.5,-45,0,0,3,3,0,2t-0.10 Forward,
5,9.23,0,0,196,-67.5,-67.5,0,0,3,3,0,2t0.39 Forward,
5,9.24,0,0,84,-112.5,-90,-22.5,0,3,1,0,2t1.73 Rightd,
5,9.25,40142102,139987999,58,-45,-67.5,45,0,3,3,0,2t0.39 Forward,
5,9.26,40142102,139987999,57,-45,-67.5,22.5,0,1,3,0,2t-0.64 Leftd,
5,9.27,40142104,139988009,59,-112.5,-67.5,-45,0,3,3,0,2t0.36 Forward,
5,9.28,40142104,139988009,58,-135,-67.5,-67.5,0,3,3,0,2t0.09 Forward,
5,9.29,40142093,139988016,60,-112.5,-67.5,-45,0,3,1,0,2t0.98 Rightd,
5,9.3,40142089,139988022,60,-45,-90,-22.5,0,3,3,0,2t0.31 Forward,
5,9.31,40142089,139988022,59,-135,-67.5,-45,0,3,3,0,2t-0.11 Forward,
5,9.32,40142089,139988022,58,-90,-90,-45,0,3,3,0,2t0.12 Forward,
5,9.33,40142089,139988022,57,-112.5,-67.5,-45,0,3,1,0,2t0.83 Rightd,
5,9.34,40142089,139988022,56,-157.5,-67.5,-45,0,3,1,0,2t0.48 Rightd,
5,9.35,40142089,139988022,56,-90,-90,-45,0,3,1,0,2t0.66 Rightd,
5,9.36,40142089,139988022,55,-67.5,-90,-22.5,0,3,3,0,2t-0.06 Forward,
5,9.37,40142089,139988022,55,-45,-112.5,-22.5,0,3,3,0,2t-0.22 Forward,
5,9.38,40142089,139988022,57,-67.5,-112.5,-22.5,0,3,3,0,2t-0.02 Forward,
5,9.39,40142130,139988030,60,-45,-112.5,-22.5,0,3,3,0,2t-0.29 Forward,
5,9.4,40142130,139988030,59,-45,-135,0,0,3,3,0,2t-0.15 Forward,
5,9.41,40142137,139988037,60,-67.5,-135,-22.5,0,3,3,0,2t-0.12 Forward,
5,9.42,40142137,139988037,59,-45,-112.5,-22.5,0,3,3,0,2t-0.31 Forward,
5,9.43,40142132,139988043,61,-67.5,-135,-22.5,0,3,3,0,2t-0.13 Forward,
5,9.44,40142132,139988043,60,-67.5,-112.5,0,0,3,3,0,2t-0.22 Forward,
5,9.45,40142132,139988043,59,-45,-112.5,0,0,3,3,0,2t-0.20 Forward,
5,9.47,40142132,139988043,58,-45,-112.5,0,0,3,3,0,2t-0.23 Forward,
5,9.48,40142132,139988043,58,-45,-112.5,0,0,3,3,0,2t-0.26 Forward,
5,9.49,40142118,139988020,59,-67.5,-112.5,0,0,3,3,0,2t-0.14 Forward,
5,9.5,40142114,139988013,59,-45,-112.5,0,0,3,3,0,2t-0.29 Forward,
5,9.51,40142114,139988013,58,-45,-112.5,22.5,0,3,3,0,2t-0.15 Forward,
5,9.52,40142114,139988013,57,-67.5,-112.5,0,0,3,3,0,2t-0.10 Forward,
5,9.53,40142114,139988013,56,-45,-112.5,0,0,3,3,0,2t-0.27 Forward,
5,9.54,40142114,139988013,55,-67.5,-112.5,0,0,3,3,0,2t-0.06 Forward,
5,9.55,40142039,139987980,59,-45,-90,0,0,3,3,0,2t-0.30 Forward,
5,9.56,40142039,139987980,57,-22.5,-45,22.5,0,1,3,0,2t-0.61 Leftrd,
5,9.57,40142039,139987980,56,0,-22.5,0,0,1,3,0,2t-1.31 Leftrd,
5,9.58,40142039,139987980,54,0,0,0,0,1,3,0,2t-1.16 Leftrd,
5,9.59,40142039,139987980,54,0,-22.5,-22.5,0,1,3,0,2t-1.06 Leftrd,
5,10,40142039,139987980,53,0,-22.5,-22.5,0,1,3,0,2t-1.06 Leftrd,
5,10.1,40142039,139987980,52,0,-22.5,-22.5,0,1,3,0,2t-1.11 Leftrd,
5,10.2,40142039,139987980,52,0,-22.5,-22.5,0,1,3,0,2t-1.15 Leftrd,
5,10.3,40142039,139987980,51,0,-22.5,-45,0,1,3,0,2t-1.21 Leftrd,
5,10.4,40142039,139987980,53,0,-22.5,-45,0,1,3,0,2t-1.15 Leftrd,
5,10.5,40142039,139987980,53,0,-22.5,-22.5,0,1,3,0,2t-1.07 Leftrd,
5,10.6,40142098,139987698,33,0,-22.5,-22.5,0,1,3,0,2t-1.04 Leftrd,
5,10.7,40142101,139987688,32,0,-22.5,-22.5,0,1,3,0,2t-0.87 Leftrd,
5,10.8,40142101,139987688,30,0,-22.5,-22.5,0,1,3,0,2t-0.91 Leftrd,
5,10.9,40142111,139987668,30,0,-22.5,-45,0,1,3,0,2t-1.04 Leftrd,
5,10.1,40142111,139987668,28,0,-22.5,-22.5,0,1,3,0,2t-1.15 Leftrd,
