v_wind[m/s],max_height[m]
0.00,inf
0.25,1571.61
0.50,783.31
0.75,520.54
1.00,389.16
1.25,310.33
1.50,257.78
1.75,220.24
2.00,192.08
2.25,170.19
2.50,152.67
2.75,138.34
3.00,126.39
3.25,116.29
3.50,107.62
3.75,100.12
4.00,93.55
4.25,87.75
4.50,82.60
4.75,77.99
5.00,73.84
5.25,70.09
5.50,66.67
5.75,63.56
6.00,60.70
6.25,58.07
6.50,55.65
6.75,53.40
7.00,51.32
7.25,49.37
7.50,47.56
7.75,45.87
8.00,44.28
8.25,42.79
8.50,41.38
8.75,40.06
9.00,38.80
9.25,37.62
9.50,36.50
9.75,35.44
10.00,34.42
10.25,33.46
10.50,32.55
10.75,31.67
11.00,30.84
11.25,30.05
11.50,29.28
11.75,28.55
12.00,27.86
12.25,27.19
12.50,26.54
12.75,25.92
13.00,25.33
13.25,24.76
13.50,24.21
13.75,23.68
14.00,23.17
14.25,22.67
14.50,22.20
14.75,21.74
15.00,21.29
15.25,20.86
15.50,20.44
15.75,20.04
16.00,19.65
16.25,19.27
16.50,18.91
16.75,18.55
17.00,18.21
17.25,17.87
17.50,17.55
17.75,17.23
18.00,16.92
18.25,16.62
18.50,16.33
18.75,16.05
19.00,15.78
19.25,15.51
19.50,15.25
19.75,14.99
20.00,14.75
